Message 1:
Header:
  seq: 0
  stamp: 1702024670.127905393
  frame_id: ars548
Points:
  - x: 3.40167, y: 2.73003, z: -1.90561
  - x: 4.0641, y: 2.97408, z: -1.20565
  - x: 5.12966, y: -2.42835, z: -1.59875
  - x: 5.38386, y: -2.25508, z: 2.38102
  - x: 6.00055, y: -2.72732, z: -1.26263
  - x: 6.54485, y: -2.24347, z: -1.19685
  - x: 6.85419, y: -2.61518, z: -0.863348
  - x: 7.83785, y: -2.54909, z: 3.36225
  - x: 8.81717, y: 2.73788, z: -2.14326
  - x: 9.26228, y: 2.47171, z: -2.06139
  - x: 10.0012, y: 2.39431, z: -2.03327
  - x: 10.2025, y: 2.33207, z: -1.61105
  - x: 6.25217, y: 9.60838, z: -1.65524
  - x: 11.7636, y: -3.00406, z: -2.04091
  - x: 8.95373, y: 9.4026, z: -1.88076
  - x: 6.78147, y: -11.4461, z: -0.140095
  - x: 7.42572, y: -11.2332, z: -0.231131
  - x: 13.3588, y: -2.43819, z: -1.37222
  - x: 13.5326, y: -3.03926, z: -1.12043
  - x: 8.5261, y: -11.2423, z: -0.390696
  - x: 8.76797, y: -11.1716, z: 1.83463
  - x: 9.60717, y: -11.2625, z: -0.21484
  - x: 10.6771, y: -11.32, z: -0.334744
  - x: 15.467, y: 2.43966, z: -2.62502
  - x: 11.7587, y: -11.3376, z: -0.343071
  - x: 12.1257, y: -11.2528, z: 1.94906
  - x: 12.8164, y: -11.3661, z: -0.396723
  - x: 13.8678, y: 10.4295, z: -1.6318
  - x: 13.9191, y: -11.3762, z: 1.52144
  - x: 14.4343, y: -11.3842, z: -0.299959
  - x: 16.4223, y: -8.75386, z: -1.21681
  - x: 16.002, y: -11.4581, z: -0.648257
  - x: 16.146, y: -11.4003, z: 1.32222
  - x: 20.3111, y: 2.09826, z: -2.22215
  - x: 18.8387, y: -8.72592, z: -1.44808
  - x: 21.5345, y: 1.75033, z: -1.6791
  - x: 19.7809, y: 9.08697, z: -2.49296
  - x: 20.0365, y: 9.17008, z: -2.40643
  - x: 20.3747, y: 8.96994, z: -2.56433
  - x: 22.6978, y: 3.36123, z: -1.33161
  - x: 23.1162, y: 1.99461, z: -3.36355
  - x: 22.5279, y: 8.78469, z: -2.65795
  - x: 22.8236, y: 9.15441, z: -2.60531
  - x: 19.4588, y: 16.5737, z: -1.13769
  - x: 22.7559, y: -11.7011, z: -1.16036
  - x: 24.5877, y: 8.7346, z: -2.65981
  - x: 25.114, y: 8.65622, z: -2.58056
  - x: 27.2568, y: 8.66179, z: -2.81276
  - x: 27.5088, y: 8.50081, z: -2.66635
  - x: 25.3941, y: 16.4091, z: -1.27014
  - x: 25.6904, y: 16.3281, z: 3.36821
  - x: 25.324, y: 17.9546, z: 3.45673
  - x: 31.5818, y: 2.04629, z: -2.35988
  - x: 32.0691, y: 2.10453, z: -3.72142
  - x: 30.9869, y: 9.66039, z: -2.52726
  - x: 32.5181, y: 1.7846, z: -3.63567
  - x: 31.1292, y: -9.32449, z: -5.81408
  - x: 30.966, y: -14.0677, z: -4.82957
  - x: 34.5492, y: 1.4811, z: -3.16173
  - x: 31.3434, y: 16.1898, z: -1.6336
  - x: 31.5696, y: 16.1924, z: 3.17569
  - x: 25.7667, y: 25.3691, z: -1.27738
  - x: 24.2838, y: 26.8859, z: -2.0219
  - x: 26.0753, y: 25.3291, z: 3.13314
  - x: 37.2781, y: 1.33685, z: -3.19949
  - x: 37.0371, y: 8.88275, z: -3.10474
  - x: 31.6542, y: 22.1709, z: -1.5846
  - x: 31.8965, y: 22.236, z: 2.48789
  - x: 29.0219, y: 26.2766, z: -1.59956
  - x: 30.8766, y: 24.2453, z: -1.65399
  - x: 29.4004, y: 26.2072, z: 3.27314
  - x: 31.8759, y: 23.5131, z: 3.21141
  - x: 34.0731, y: 20.8288, z: -1.6045
  - x: 32.9379, y: -22.9982, z: -1.15131
  - x: 34.7355, y: 20.4304, z: 2.65802
  - x: 35.4493, y: 19.888, z: -1.5409
  - x: 34.0779, y: -23.0044, z: -0.58078
  - x: 37.6751, y: 17.4136, z: -1.88265
  - x: 41.8173, y: 0.87503, z: -3.74322
  - x: 41.9592, y: 0.730879, z: -3.6416
  - x: 39.5861, y: 14.8802, z: -1.75096
  - x: 42.3481, y: 0.816242, z: -3.88973
  - x: 36.3178, y: -23.0207, z: -0.832299
  - x: 37.3989, y: -23.0408, z: -0.847059
  - x: 38.538, y: -23.1324, z: 0.115873
  - x: 31.8597, y: 32.2972, z: -4.61948
  - x: 39.6023, y: -23.1371, z: -2.31776
  - x: 46.3194, y: -1.52784, z: -4.25034
  - x: 43.8139, y: -16.0817, z: 3.54341
  - x: 41.5135, y: 22.5166, z: -1.84303
  - x: 33.2419, y: -34.0017, z: -1.56739
  - x: 47.0098, y: 8.20769, z: 3.15923
  - x: 35.3181, y: 32.7941, z: -1.19498
  - x: 43.3902, y: -24.462, z: -2.37855
  - x: 40.8606, y: -28.5667, z: -2.09203
  - x: 48.4378, y: 12.916, z: 2.17836
  - x: 38.4707, y: 32.7277, z: -1.059
  - x: 49.3724, y: -13.2739, z: -1.97968
  - x: 49.3241, y: -14.0988, z: 3.94547
  - x: 40.3758, y: 32.6075, z: -2.18151
  - x: 50.8383, y: -13.2929, z: -1.81743
  - x: 52.5527, y: -7.76263, z: -4.06754
  - x: 52.8627, y: -7.66934, z: -4.73398
  - x: 53.7123, y: 3.94203, z: -3.44933
  - x: 37.7298, y: -39.295, z: -1.66027
  - x: 29.7578, y: -46.4826, z: -1.04157
  - x: 55.2382, y: -0.120647, z: -4.23221
  - x: 47.443, y: -30.2848, z: -2.03475
  - x: 57.4891, y: 3.54556, z: -3.04222
  - x: 58.4197, y: 3.75527, z: -2.63192
  - x: 58.1563, y: 13.1383, z: -3.20418
  - x: 50.1625, y: -33.5672, z: -1.07912
  - x: 42.4342, y: 44.8945, z: 1.6881
  - x: 60.9199, y: 12.7824, z: -4.19972
  - x: 42.6845, y: 47.1485, z: 1.09242
  - x: 42.4398, y: 47.7474, z: 0.2536
  - x: 42.7707, y: 48.3338, z: 1.87081
  - x: 42.3907, y: 49.1248, z: -2.91487
  - x: 65.8465, y: -8.27519, z: -4.65391
  - x: 66.0996, y: -8.42041, z: -5.14517
  - x: 66.6108, y: -7.80058, z: -4.61808
  - x: 66.8186, y: -5.75519, z: -4.61808
  - x: 67.1626, y: -3.21406, z: -4.32527
  - x: 67.4764, y: -5.17973, z: -5.04629
  - x: 67.5993, y: -3.19825, z: -5.04629
  - x: 68.7315, y: -0.842073, z: -4.59909
  - x: 69.2007, y: -0.529955, z: -4.87573
  - x: 69.7077, y: -2.17198, z: -4.78956
  - x: 69.7339, y: -1.03252, z: -4.78956
  - x: 44.0585, y: 54.7591, z: -2.67972
  - x: 69.4405, y: -7.1485, z: 11.467
  - x: 70.3622, y: -7.26797, z: -4.97603
  - x: 70.6762, y: -4.06104, z: -5.60033
  - x: 71.1076, y: -2.92377, z: -4.97339
  - x: 71.1496, y: -1.60536, z: -4.97339
  - x: 71.3673, y: -8.19235, z: -3.21922
  - x: 71.8268, y: -6.36215, z: -2.40917
  - x: 72.7171, y: -0.0311735, z: -3.03189
  - x: 72.3688, y: -8.6785, z: -2.87716
  - x: 72.2375, y: -11.6863, z: -2.87793
  - x: 72.2212, y: -13.5358, z: -3.27678
  - x: 72.0738, y: -15.8031, z: -3.43202
  - x: 71.9902, y: -17.9613, z: -2.72097
  - x: 71.9267, y: -19.9739, z: -2.60627
  - x: 71.7579, y: -21.8771, z: -2.1218
  - x: 71.7899, y: -23.061, z: -3.01854
  - x: 44.1927, y: 61.2772, z: -2.23847
  - x: 71.6331, y: -26.6699, z: -2.75398
  - x: 71.3423, y: -29.5666, z: -2.37329
  - x: 45.2056, y: 62.6574, z: -3.28798
  - x: 75.5669, y: 17.6601, z: -3.57376
  - x: 71.4984, y: -30.9405, z: -2.77574
