Message 1:
Header:
  seq: 5607
  stamp: 1645868674.271864875
  frame_id: base_link
Points:
  - x: 36.8436, y: 0.653052, z: 0.209916
  - x: 37.6996, y: 0.894039, z: 0.214581
  - x: 38.5544, y: 1.14497, z: 0.093963
  - x: 38.088, y: -13.0476, z: 8.93126
  - x: 41.9979, y: 0.72323, z: -1.15541
  - x: 41.929, y: 2.41639, z: -1.15541
  - x: 44.6062, y: -0.228196, z: -0.107957
  - x: 45.4677, y: -0.234733, z: -0.109957
  - x: 46.3293, y: -0.241272, z: -0.111956
  - x: 45.8219, y: -14.5768, z: -0.425161
  - x: 46.5115, y: -14.4823, z: 4.86795
  - x: 47.4564, y: -15.0799, z: 1.23939
  - x: 48.4855, y: -14.6539, z: 1.38196
  - x: 49.312, y: -14.8961, z: 1.40462
  - x: 50.1385, y: -15.1384, z: 1.42727
  - x: 51.2558, y: -14.3574, z: 1.62046
  - x: 52.6332, y: -15.8698, z: 0.659726
  - x: 53.5526, y: -15.791, z: 0.848303
  - x: 54.3745, y: -16.0268, z: 1.22343
  - x: 55.2025, y: -16.2643, z: 1.24142
  - x: 55.9951, y: -16.0088, z: 4.70669
  - x: 56.8225, y: -16.2393, z: 4.77393
  - x: 57.62, y: -16.4615, z: 5.22375
  - x: 66.279, y: -14.6838, z: -1.02556
  - x: 66.2346, y: -18.4367, z: -1.03822
  - x: 68.739, y: -10.848, z: -1.71449
  - x: 69.6584, y: -10.5673, z: -1.5113
  - x: 71.3018, y: -11.246, z: 1.31808
  - x: 72.1434, y: -11.3767, z: 1.79712
  - x: 72.9902, y: -11.5082, z: 1.99365
  - x: 88.8003, y: 16.0538, z: -0.499135
  - x: 90.499, y: 16.3516, z: -0
  - x: 91.3476, y: 16.5004, z: -0
  - x: 105.009, y: -17.9621, z: 5.20396
  - x: 117.755, y: 20.1798, z: 3.94575
  - x: 118.633, y: 20.3269, z: 2.93323
  - x: 119.476, y: 20.4679, z: 3.23969
  - x: 135.972, y: -14.2626, z: -4.93435
  - x: 136.713, y: -15.4212, z: -4.965
  - x: 140.205, y: -0.95374, z: 2.96862
  - x: 141.069, y: 0.142334, z: 2.98661
  - x: 155.73, y: -23.4266, z: -1.35612
  - x: 156.563, y: -23.551, z: -2.85073
  - x: 165.245, y: -23.8608, z: -1.43675
  - x: 165.32, y: -28.1648, z: 6.56245
  - x: 166.169, y: -28.3084, z: 6.59576
  - x: 167.16, y: -27.4713, z: 7.1591
  - x: 206.551, y: -38.0398, z: 3.11466
  - x: 207.897, y: -35.3675, z: 3.12732
  - x: 208.769, y: -35.5149, z: 0.495805
  - x: 209.618, y: -35.6586, z: 0.497804
  - x: 215.27, y: -26.778, z: 1.18486
  - x: 216.125, y: -26.8839, z: 1.18953
  - x: 2.71545, y: 1.14533, z: -0.957709
  - x: 2.79254, y: 1.23241, z: -0.978991
  - x: 1.74488, y: -2.92891, z: -0.954326
  - x: 2.26194, y: -3.02821, z: -0.896237
  - x: 2.45127, y: -3.00363, z: -0.882835
  - x: 2.53814, y: -3.06881, z: -0.884475
  - x: 2.47537, y: -2.85149, z: -0.86873
  - x: 2.92885, y: -2.48127, z: -0.838835
  - x: 3.03138, y: -2.53615, z: -0.785284
  - x: 3.28997, y: -2.34169, z: -0.800101
  - x: 3.36056, y: -2.4276, z: -0.814918
  - x: 3.47976, y: -2.43179, z: -0.848153
  - x: 3.92362, y: -1.79959, z: -0.863299
  - x: 3.83127, y: -2.25566, z: -0.840283
  - x: 3.91926, y: -2.29235, z: -0.932376
  - x: 4.05024, y: -2.30564, z: -0.829747
  - x: 4.44411, y: -1.65148, z: -0.843576
  - x: 4.54908, y: -1.68116, z: -0.836979
  - x: 4.58984, y: -1.8831, z: -0.850478
  - x: 3.88966, y: -3.34286, z: -0.863978
  - x: 4.02377, y: -3.42213, z: -0.291384
  - x: 4.07925, y: -3.52262, z: -0.317769
  - x: 4.3833, y: -3.94116, z: -0.811445
  - x: 4.52166, y: -3.40151, z: -0.800597
  - x: 5.08113, y: -2.66456, z: -0.789081
  - x: 5.17789, y: -2.70338, z: -0.823803
  - x: 5.27452, y: -2.74215, z: -0.859177
  - x: 5.55629, y: -2.45688, z: 0.490692
  - x: 5.68887, y: -2.32299, z: -0.883043
  - x: 5.93068, y: -1.95855, z: -0.870214
  - x: 6.03377, y: -1.9862, z: -0.881817
  - x: 6.28211, y: -2.2906, z: -0.812211
  - x: 6.24323, y: -2.69624, z: -0.822492
  - x: 6.32224, y: -2.77759, z: -0.85955
  - x: 6.6655, y: -2.15563, z: -0.815938
  - x: 6.54599, y: -2.80174, z: -0.853335
  - x: 7.47755, y: -2.78436, z: -0.822695
  - x: 7.82807, y: -2.4075, z: -0.802294
  - x: 7.7985, y: -3.45077, z: -0.77254
  - x: 7.89889, y: -3.48794, z: -0.780588
  - x: 8.40421, y: -3.07357, z: -0.804729
  - x: 8.50876, y: -3.1062, z: -0.779319
  - x: 8.74375, y: -2.71304, z: -0.854605
  - x: 8.84964, y: -2.74145, z: -0.828871
  - x: 8.96211, y: -3.08751, z: -0.87974
  - x: 8.74327, y: -4.23066, z: -0.790162
  - x: 9.27504, y: -3.18057, z: -0.833331
  - x: 8.2109, y: 5.38899, z: -0.877155
  - x: 8.30892, y: 5.43836, z: -0.848764
  - x: 8.40688, y: 5.48769, z: -0.819701
  - x: 8.50255, y: 5.53587, z: -0.827086
  - x: 10.1488, y: -2.4298, z: -0.917392
  - x: 10.1105, y: -3.00554, z: -0.925439
  - x: 9.84956, y: -4.39277, z: 1.82597
  - x: 9.93784, y: -4.42681, z: 1.91964
  - x: 10.225, y: -3.90038, z: 2.16205
  - x: 9.30563, y: 6.30267, z: 0.151959
  - x: 9.40074, y: 6.35336, z: 0.112351
  - x: 9.49574, y: 6.40399, z: 0.072078
  - x: 9.29559, y: 7.37704, z: -0.964504
  - x: 11.0465, y: -3.98061, z: -0.846949
  - x: 11.151, y: -4.01391, z: -0.811565
  - x: 10.3398, y: 5.83344, z: -0.65875
  - x: 12.4231, y: -1.95226, z: -0.989549
  - x: 12.6853, y: 3.89787, z: -1.04124
  - x: 10.6989, y: -8.17599, z: -1.22501
  - x: 13.181, y: -3.16688, z: -0.913809
  - x: 13.2909, y: -3.19098, z: -0.82469
  - x: 12.9936, y: -4.91954, z: -0.836144
  - x: 13.7237, y: -4.14552, z: -0.336286
  - x: 13.8565, y: -4.08434, z: -0.137927
  - x: 13.2825, y: -6.19644, z: -0.736647
  - x: 14.0602, y: -4.46994, z: -0.741461
  - x: 13.9115, y: -5.23146, z: -0.797705
  - x: 13.9718, y: -5.38924, z: -0.699323
  - x: 13.9591, y: -5.73147, z: -0.547467
  - x: 14.0994, y: -5.67792, z: -0.446037
  - x: 14.17, y: -6.05885, z: -0.611043
  - x: 15.0805, y: -3.58325, z: -0.721737
  - x: 15.0744, y: -4.06301, z: -0.672453
  - x: 15.0367, y: -4.89383, z: -1.048
  - x: 15.1453, y: -4.92613, z: -0.944958
  - x: 15.2421, y: -4.95492, z: -1.06079
  - x: 15.82, y: -3.74535, z: -0.585825
  - x: 15.5412, y: -5.15379, z: -0.533204
  - x: 16.0785, y: -4.05597, z: -0.539514
  - x: 16.1979, y: -4.45214, z: -0.545824
  - x: 16.0595, y: 6.03668, z: -0
  - x: 16.1615, y: 6.07006, z: -0
  - x: 16.2635, y: 6.10343, z: 0.0445922
  - x: 16.326, y: 6.12386, z: -1.26959
  - x: 16.6379, y: 6.10442, z: 1.7604
  - x: 17.5241, y: -4.78875, z: -1.18859
  - x: 17.6348, y: -4.81684, z: -1.07095
  - x: 17.5316, y: 5.31157, z: -1.07668
  - x: 18.041, y: -4.63533, z: -0.362864
  - x: 18.1454, y: -4.66033, z: -0.364774
  - x: 18.2516, y: -4.68576, z: -0.239149
  - x: 18.3863, y: -4.59457, z: -0
  - x: 18.4354, y: -4.72978, z: -1.06278
  - x: 18.711, y: 3.81183, z: -0.874153
  - x: 18.8547, y: 3.67163, z: -0.748527
  - x: 18.9627, y: 3.69013, z: -0.686949
