Message 1:
Header:
  seq: 2777
  stamp: 1645868438.451064139
  frame_id: base_link
Points:
  - x: 34.7942, y: 14.312, z: -0.569755
  - x: 35.4776, y: 14.9134, z: -0.582417
  - x: 38.9196, y: 2.27673, z: -0
  - x: 36.5937, y: 16.6626, z: -0.607739
  - x: 37.3825, y: 17.0095, z: -0.6204
  - x: 39.5387, y: 13.9525, z: -0.766325
  - x: 43.82, y: -5.4294, z: -0.812304
  - x: 44.6475, y: -5.79985, z: -0.39584
  - x: 45.1225, y: -8.3453, z: 0.256564
  - x: 46.6, y: 12.8387, z: 3.59149
  - x: 48, y: 10.7797, z: 3.65341
  - x: 50.1026, y: 9.78305, z: 0.447152
  - x: 49.3266, y: 15.4787, z: 4.78636
  - x: 51.6492, y: 10.8216, z: 0.629738
  - x: 52.4938, y: 10.9931, z: 0.639734
  - x: 53.3384, y: 11.1646, z: 0.64973
  - x: 55.4006, y: 9.5379, z: 0.848303
  - x: 56.2529, y: 9.68039, z: 0.679717
  - x: 57.0976, y: 9.8216, z: 1.05753
  - x: 57.3619, y: 12.8126, z: 1.95889
  - x: 58.6887, y: -14.9427, z: 6.51341
  - x: 57.473, y: -23.0165, z: 9.57983
  - x: 58.2662, y: -23.3277, z: 9.70928
  - x: 66.4921, y: -4.05522, z: 10.5674
  - x: 67.4949, y: 0.677251, z: 10.486
  - x: 68.2452, y: 4.31993, z: 10.3993
  - x: 69.2197, y: -15.2158, z: -1.28743
  - x: 70.062, y: -15.3972, z: -1.30275
  - x: 72.2692, y: -17.3682, z: -0.879634
  - x: 73.9509, y: -17.7642, z: -0.419833
  - x: 75.613, y: -18.1557, z: -1.65523
  - x: 76.3424, y: -18.8038, z: -1.67322
  - x: 77.18, y: -19.0062, z: -1.69121
  - x: 80.4414, y: -8.70811, z: 7.15623
  - x: 77.6807, y: -25.5668, z: 7.23077
  - x: 84.2913, y: -0.815671, z: 7.98539
  - x: 86.0796, y: -4.21225, z: 6.04485
  - x: 93.1113, y: -5.64906, z: -0.80634
  - x: 93.3864, y: -11.94, z: -0.81367
  - x: 94.8569, y: -5.19462, z: -1.41806
  - x: 95.8552, y: -1.67857, z: -0.225911
  - x: 96.717, y: -1.69358, z: -0.22791
  - x: 100.027, y: -5.47421, z: 0.864983
  - x: 103.032, y: -11.1129, z: 0.243904
